customer_id,customer_name,email,age,gender,state,city,pincode,registration_date,income_bracket,customer_type,is_prime_member,preferred_category,acquisition_source
CUST00035,Rohit Mehta,user35@email.com,37,Female,Delhi,Faridabad,679421,2019-11-16,10-20L,New,1,Electronics,Referral
CUST00036,Akash Agarwal,user36@email.com,38,Male,Karnataka,Hubli,777871,2022-07-26,6-10L,Regular,0,Fashion,Referral
CUST00037,Ishaan Pandey,user37@email.com,38,Female,Kerala,Thiruvananthapuram,409313,2018-08-09,6-10L,Premium,0,Fashion,Paid Ads
CUST00038,Priya Pandey,user38@email.com,50,Male,Rajasthan,Jaipur,625980,2022-03-01,3-6L,Premium,0,Books,Paid Ads
CUST00039,Meera Trivedi,user39@email.com,38,Male,Bihar,Gaya,314945,2023-08-06,3-6L,Premium,0,Grocery,Social Media
CUST00040,Deepika Nair,user40@email.com,21,Male,Bihar,Bhagalpur,153616,2023-04-03,<3L,Premium,0,Beauty & Health,Paid Ads
CUST00041,Aarav Sharma,user41@email.com,53,Female,Rajasthan,Jaipur,893208,2022-07-18,6-10L,Regular,0,Home & Kitchen,App Store
CUST00042,Nisha Reddy,user42@email.com,60,Female,Gujarat,Gandhinagar,568188,2023-03-06,3-6L,New,1,Home & Kitchen,Email Campaign
CUST00043,Karan Pillai,user43@email.com,18,Male,Delhi,Faridabad,833344,2022-12-28,10-20L,Regular,1,Books,Organic Search
CUST00044,Mihir Rao,user44@email.com,38,Female,Maharashtra,Nashik,374061,2021-12-24,<3L,Premium,0,Grocery,Organic Search
CUST00045,Priya Banerjee,user45@email.com,33,Female,Karnataka,Mysuru,370249,2022-03-28,3-6L,Regular,1,Toys & Games,Organic Search
CUST00046,Arjun Patel,user46@email.com,50,Male,Madhya Pradesh,Gwalior,849500,2019-05-18,3-6L,New,0,Beauty & Health,Organic Search
CUST00047,Aarav Agarwal,user47@email.com,54,Female,Uttar Pradesh,Kanpur,133948,2019-05-21,>20L,Premium,0,Grocery,Social Media
CUST00048,Akash Sharma,user48@email.com,47,Male,Gujarat,Gandhinagar,754852,2022-08-09,6-10L,New,0,Toys & Games,Referral
CUST00049,Isha Shah,user49@email.com,39,Female,Delhi,Gurgaon,435099,2019-08-04,10-20L,Regular,0,Sports & Fitness,Referral
CUST00050,Vikram Mehta,user50@email.com,28,Male,Punjab,Jalandhar,425335,2019-11-02,6-10L,Regular,0,Automotive,Referral
CUST00051,Rohit Gupta,user51@email.com,18,Male,Delhi,Gurgaon,714886,2018-04-27,6-10L,New,1,Fashion,Paid Ads
CUST00052,Divya Malhotra,user52@email.com,56,Female,Gujarat,Surat,597782,2022-03-15,3-6L,VIP,0,Toys & Games,Organic Search
CUST00053,Varun Pandey,user53@email.com,51,Male,Tamil Nadu,Trichy,387126,2019-08-24,6-10L,Regular,0,Beauty & Health,Social Media
CUST00054,Pooja Reddy,user54@email.com,35,Female,Punjab,Amritsar,506516,2020-04-03,<3L,Premium,1,Home & Kitchen,Social Media
CUST00055,Akash Agarwal,user55@email.com,31,Male,Punjab,Amritsar,743579,2018-01-28,6-10L,Premium,0,Sports & Fitness,Email Campaign
CUST00056,Aditi Agarwal,user56@email.com,32,Male,Haryana,Hisar,549374,2023-11-28,<3L,Premium,0,Beauty & Health,Paid Ads
CUST00057,Rahul Banerjee,user57@email.com,59,Male,Kerala,Thiruvananthapuram,658968,2023-02-20,10-20L,Premium,1,Beauty & Health,Organic Search
CUST00058,Aditya Shah,user58@email.com,26,Female,Kerala,Thiruvananthapuram,744488,2022-09-14,6-10L,Premium,0,Books,Social Media
CUST00059,Sneha Rao,user59@email.com,31,Male,Madhya Pradesh,Gwalior,906379,2022-10-12,6-10L,VIP,0,Office Supplies,Social Media
CUST00060,Meera Trivedi,user60@email.com,52,Male,Punjab,Patiala,157724,2022-04-16,3-6L,Regular,0,Grocery,Paid Ads
CUST00061,Kavya Joshi,user61@email.com,28,Female,Punjab,Amritsar,488403,2018-12-15,<3L,Regular,1,Electronics,Organic Search
CUST00062,Isha Gupta,user62@email.com,55,Female,Rajasthan,Ajmer,447305,2021-11-05,6-10L,Regular,0,Electronics,Email Campaign
CUST00063,Rahul Shah,user63@email.com,19,Female,West Bengal,Howrah,919409,2023-03-19,<3L,New,0,Office Supplies,Email Campaign
CUST00064,Priya Kumar,user64@email.com,60,Male,Rajasthan,Jaipur,797899,2020-04-11,3-6L,New,0,Fashion,Organic Search
CUST00065,Varun Shah,user65@email.com,53,Female,West Bengal,Durgapur,638208,2023-05-10,3-6L,Premium,1,Sports & Fitness,Social Media
CUST00066,Shreya Nair,user66@email.com,30,Male,Rajasthan,Udaipur,118281,2019-06-02,6-10L,New,0,Beauty & Health,Referral
CUST00067,Utkarsh Reddy,user67@email.com,41,Female,Bihar,Muzaffarpur,269020,2021-12-15,3-6L,Regular,0,Office Supplies,Email Campaign
CUST00068,Pooja Patel,user68@email.com,38,Male,Gujarat,Surat,302406,2019-05-22,6-10L,VIP,1,Fashion,Organic Search
CUST00069,Sunita Kumar,user69@email.com,21,Male,Uttar Pradesh,Varanasi,123527,2020-09-02,3-6L,VIP,1,Toys & Games,Email Campaign
CUST00070,Siddharth Iyer,user70@email.com,38,Male,Punjab,Chandigarh,437903,2020-03-05,<3L,New,0,Electronics,Organic Search
CUST00071,Ananya Shah,user71@email.com,21,Female,Bihar,Bhagalpur,533622,2023-08-28,>20L,Premium,0,Office Supplies,App Store
CUST00072,Sunita Verma,user72@email.com,19,Male,Gujarat,Vadodara,812901,2018-04-14,3-6L,Regular,1,Fashion,Organic Search
CUST00073,Nisha Patel,user73@email.com,48,Male,Uttar Pradesh,Lucknow,337684,2021-08-27,10-20L,New,0,Office Supplies,Organic Search
CUST00074,Aditi Patel,user74@email.com,31,Female,Karnataka,Hubli,730180,2023-07-07,3-6L,VIP,1,Home & Kitchen,Paid Ads
CUST00075,Shreya Nair,user75@email.com,21,Female,Rajasthan,Jaipur,309815,2022-05-14,6-10L,Regular,0,Automotive,Referral
CUST00076,Divya Rao,user76@email.com,33,Male,Tamil Nadu,Trichy,619637,2019-10-24,3-6L,Regular,0,Fashion,Referral
CUST00077,Akash Joshi,user77@email.com,35,Female,Delhi,Ghaziabad,641207,2023-10-14,3-6L,New,0,Home & Kitchen,Paid Ads
CUST00078,Rohit Pillai,user78@email.com,40,Female,Madhya Pradesh,Indore,374062,2021-03-03,10-20L,New,0,Office Supplies,Email Campaign
CUST00079,Aditya Pandey,user79@email.com,33,Female,Uttar Pradesh,Kanpur,645530,2022-06-07,6-10L,Premium,0,Beauty & Health,Referral
CUST00080,Rajesh Patel,user80@email.com,21,Male,Rajasthan,Kota,154869,2019-07-13,3-6L,New,0,Toys & Games,Organic Search
CUST00081,Amit Joshi,user81@email.com,25,Female,Andhra Pradesh,Guntur,650257,2018-07-05,>20L,Regular,0,Beauty & Health,Organic Search
CUST00082,Aarav Mehta,user82@email.com,52,Other,Gujarat,Rajkot,503051,2023-07-02,10-20L,Regular,1,Home & Kitchen,Social Media
CUST00083,Sanjay Kumar,user83@email.com,32,Male,Andhra Pradesh,Nellore,187843,2019-11-21,3-6L,VIP,1,Home & Kitchen,Referral
CUST00084,Kavya Joshi,user84@email.com,45,Male,Gujarat,Gandhinagar,902827,2020-06-28,6-10L,Premium,0,Toys & Games,Organic Search
CUST00085,Utkarsh Agarwal,user85@email.com,35,Male,West Bengal,Siliguri,496719,2022-09-15,10-20L,Regular,1,Electronics,Paid Ads
CUST00086,Akash Singh,user86@email.com,59,Male,Tamil Nadu,Coimbatore,526004,2023-06-26,6-10L,Regular,0,Sports & Fitness,Social Media
CUST00087,Sunita Pandey,user87@email.com,52,Male,Tamil Nadu,Salem,770703,2019-10-02,10-20L,VIP,1,Grocery,Paid Ads
CUST00088,Rohit Mehta,user88@email.com,40,Female,Maharashtra,Thane,444107,2023-11-04,6-10L,Regular,0,Electronics,Organic Search
CUST00089,Sanjay Agarwal,user89@email.com,27,Female,Rajasthan,Kota,307308,2020-06-01,3-6L,New,0,Toys & Games,Paid Ads
CUST00090,Siddharth Joshi,user90@email.com,26,Male,Telangana,Hyderabad,939178,2021-07-12,3-6L,Regular,0,Grocery,Social Media
CUST00091,Aditi Mehta,user91@email.com,44,Male,Haryana,Faridabad,205931,2022-05-05,3-6L,New,0,Grocery,Organic Search
CUST00092,Pooja Gupta,user92@email.com,55,Female,West Bengal,Durgapur,268044,2020-06-17,3-6L,New,0,Fashion,Referral
CUST00093,Priya Malhotra,user93@email.com,55,Male,Rajasthan,Kota,739423,2018-10-08,>20L,Regular,0,Sports & Fitness,Email Campaign
CUST00094,Priya Shah,user94@email.com,45,Female,Karnataka,Hubli,137443,2020-08-09,>20L,Premium,1,Automotive,Email Campaign
CUST00095,Varun Malhotra,user95@email.com,46,Male,Maharashtra,Pune,266899,2021-12-19,6-10L,Regular,1,Automotive,Social Media
CUST00096,Pooja Rao,user96@email.com,50,Female,Kerala,Kozhikode,443541,2023-01-08,10-20L,Regular,1,Automotive,Organic Search
CUST00097,Rahul Malhotra,user97@email.com,35,Female,West Bengal,Asansol,329383,2023-12-28,>20L,Regular,0,Fashion,Social Media
CUST00098,Priya Trivedi,user98@email.com,52,Female,Bihar,Gaya,719067,2020-11-03,3-6L,Regular,0,Fashion,App Store
CUST00099,Rajesh Sharma,user99@email.com,43,Male,Madhya Pradesh,Ujjain,819765,2019-11-13,>20L,VIP,0,Electronics,Social Media
CUST00100,Rohit Sharma,user100@email.com,28,Male,Andhra Pradesh,Tirupati,544584,2022-12-30,<3L,Regular,0,Grocery,Email Campaign
CUST00101,Nisha Sharma,user101@email.com,37,Male,Punjab,Jalandhar,809938,2018-07-20,3-6L,Premium,0,Toys & Games,Paid Ads
CUST00102,Yash Sharma,user102@email.com,36,Male,Kerala,Kollam,330637,2021-07-14,<3L,New,1,Electronics,Organic Search
CUST00103,Tanvi Reddy,user103@email.com,18,Female,Uttar Pradesh,Varanasi,933970,2021-06-17,10-20L,New,1,Electronics,Organic Search
CUST00104,Yash Verma,user104@email.com,24,Male,Kerala,Thiruvananthapuram,500387,2018-08-04,<3L,Regular,0,Electronics,Paid Ads
CUST00105,Anjali Mishra,user105@email.com,60,Female,Rajasthan,Ajmer,925328,2023-11-05,6-10L,Regular,1,Home & Kitchen,Organic Search
CUST00106,Meera Pillai,user106@email.com,49,Male,West Bengal,Siliguri,968812,2018-10-18,6-10L,Premium,1,Beauty & Health,Organic Search
CUST00107,Aditya Patel,user107@email.com,36,Male,Punjab,Patiala,540570,2020-04-03,6-10L,Premium,1,Beauty & Health,Referral
CUST00108,Amit Nair,user108@email.com,54,Female,Rajasthan,Jodhpur,213045,2018-12-09,10-20L,New,0,Grocery,Referral
CUST00109,Ishaan Trivedi,user109@email.com,56,Male,Haryana,Faridabad,356731,2020-05-05,3-6L,Regular,1,Office Supplies,Email Campaign
CUST00110,Kavya Mishra,user110@email.com,60,Female,West Bengal,Siliguri,894981,2023-09-04,3-6L,Premium,0,Books,Paid Ads
CUST00111,Manoj Joshi,user111@email.com,19,Male,Haryana,Rohtak,682527,2020-04-26,3-6L,Regular,0,Office Supplies,Referral
CUST00112,Vikram Pillai,user112@email.com,28,Female,Rajasthan,Jodhpur,558022,2020-01-28,3-6L,Regular,1,Toys & Games,Organic Search
CUST00113,Divya Agarwal,user113@email.com,40,Other,Andhra Pradesh,Visakhapatnam,936860,2020-03-04,6-10L,Premium,1,Books,Paid Ads
CUST00114,Karan Kumar,user114@email.com,27,Female,Maharashtra,Nashik,241993,2019-04-23,10-20L,Regular,0,Grocery,Organic Search
CUST00115,Varun Mehta,user115@email.com,60,Male,Andhra Pradesh,Guntur,516123,2023-09-13,3-6L,Premium,0,Home & Kitchen,Organic Search
CUST00116,Varun Iyer,user116@email.com,60,Female,Madhya Pradesh,Gwalior,186568,2021-11-12,<3L,New,0,Fashion,Paid Ads
CUST00117,Yash Banerjee,user117@email.com,23,Female,Telangana,Khammam,195221,2023-06-03,<3L,Regular,0,Beauty & Health,Email Campaign
CUST00118,Sneha Patel,user118@email.com,34,Female,Haryana,Gurugram,237119,2021-01-22,>20L,Regular,0,Grocery,Paid Ads
CUST00119,Aarav Verma,user119@email.com,29,Female,Andhra Pradesh,Visakhapatnam,920667,2019-11-01,3-6L,New,0,Beauty & Health,Organic Search
CUST00120,Sneha Nair,user120@email.com,20,Female,Tamil Nadu,Trichy,874491,2021-01-23,>20L,Premium,0,Office Supplies,Social Media
CUST00121,Aarav Nair,user121@email.com,49,Male,Bihar,Darbhanga,893409,2020-07-18,3-6L,New,1,Fashion,Paid Ads
CUST00122,Meera Iyer,user122@email.com,21,Male,Rajasthan,Jodhpur,391885,2020-05-10,6-10L,Premium,0,Electronics,Social Media
CUST00123,Siddharth Malhotra,user123@email.com,19,Female,Tamil Nadu,Salem,538299,2022-05-12,<3L,Regular,1,Automotive,Social Media
CUST00124,Ananya Malhotra,user124@email.com,59,Male,Haryana,Faridabad,870786,2023-02-12,10-20L,New,0,Electronics,Paid Ads
CUST00125,Rohit Rao,user125@email.com,24,Male,Uttar Pradesh,Lucknow,993090,2023-11-24,6-10L,Regular,0,Beauty & Health,Paid Ads
CUST00126,Utkarsh Agarwal,user126@email.com,23,Male,Punjab,Patiala,882164,2023-04-20,6-10L,Premium,1,Fashion,Referral
CUST00127,Manoj Singh,user127@email.com,18,Female,Gujarat,Rajkot,279581,2023-01-22,3-6L,VIP,1,Fashion,Referral
CUST00128,Deepika Kumar,user128@email.com,55,Male,Karnataka,Mysuru,927108,2021-10-17,10-20L,VIP,0,Sports & Fitness,Paid Ads
CUST00129,Riya Pillai,user129@email.com,40,Male,Bihar,Patna,652229,2021-02-05,>20L,Regular,1,Grocery,Organic Search
CUST00130,Vikram Joshi,user130@email.com,42,Female,Maharashtra,Mumbai,142388,2021-08-27,>20L,Regular,0,Toys & Games,Email Campaign
CUST00131,Ishaan Verma,user131@email.com,28,Female,Karnataka,Belgaum,882964,2020-01-14,3-6L,Regular,1,Toys & Games,Organic Search
CUST00132,Rohit Kumar,user132@email.com,47,Male,Bihar,Bhagalpur,744050,2018-02-07,6-10L,Regular,0,Office Supplies,Organic Search
CUST00133,Aditya Nair,user133@email.com,52,Male,Bihar,Gaya,358523,2019-01-19,6-10L,Premium,0,Fashion,Organic Search
CUST00134,Sneha Nair,user134@email.com,25,Male,Gujarat,Ahmedabad,233670,2019-01-30,6-10L,Premium,0,Home & Kitchen,Referral
CUST00135,Mihir Verma,user135@email.com,20,Female,Uttar Pradesh,Varanasi,588765,2022-11-02,3-6L,Regular,0,Sports & Fitness,Referral
CUST00136,Pooja Sharma,user136@email.com,46,Male,Tamil Nadu,Chennai,672965,2019-12-08,<3L,Premium,0,Electronics,Social Media
CUST00137,Manoj Rao,user137@email.com,38,Female,Bihar,Gaya,715740,2022-02-27,>20L,Regular,1,Beauty & Health,Paid Ads
CUST00138,Ananya Shah,user138@email.com,43,Male,West Bengal,Siliguri,256734,2018-04-20,10-20L,Regular,1,Office Supplies,App Store
CUST00139,Varun Mishra,user139@email.com,42,Male,Uttar Pradesh,Kanpur,206950,2020-12-28,3-6L,Regular,0,Home & Kitchen,Email Campaign
CUST00140,Varun Singh,user140@email.com,34,Female,Karnataka,Belgaum,800815,2023-08-25,3-6L,Regular,0,Toys & Games,Organic Search
CUST00141,Yash Mishra,user141@email.com,60,Male,Telangana,Warangal,296128,2022-07-13,6-10L,Premium,1,Books,Organic Search
CUST00142,Akash Nair,user142@email.com,39,Female,Telangana,Nizamabad,365031,2020-08-07,>20L,Premium,1,Toys & Games,Social Media
CUST00143,Rohit Shah,user143@email.com,56,Male,Gujarat,Vadodara,835699,2018-10-14,10-20L,Regular,0,Books,Organic Search
CUST00144,Riya Sharma,user144@email.com,41,Male,Haryana,Panipat,151856,2019-09-23,<3L,Premium,0,Home & Kitchen,Referral
CUST00145,Deepika Joshi,user145@email.com,48,Female,Kerala,Kochi,879835,2018-01-10,<3L,New,0,Electronics,Organic Search
CUST00146,Karan Patel,user146@email.com,59,Female,Kerala,Thiruvananthapuram,686221,2021-10-28,6-10L,New,1,Beauty & Health,Social Media
CUST00147,Pooja Banerjee,user147@email.com,32,Female,Karnataka,Bengaluru,684437,2018-12-10,<3L,New,1,Electronics,Organic Search
CUST00148,Tanvi Agarwal,user148@email.com,19,Female,Punjab,Ludhiana,917302,2020-01-29,6-10L,New,1,Office Supplies,Social Media
CUST00149,Tanvi Mehta,user149@email.com,56,Male,West Bengal,Siliguri,445795,2018-06-07,<3L,Premium,1,Sports & Fitness,Paid Ads
CUST00150,Deepika Patel,user150@email.com,27,Other,Madhya Pradesh,Indore,374818,2019-11-17,3-6L,Premium,0,Fashion,Organic Search
CUST00151,Amit Kumar,user151@email.com,36,Male,Delhi,Noida,487113,2021-04-17,<3L,Regular,0,Beauty & Health,Organic Search
CUST00152,Vikram Sharma,user152@email.com,33,Male,Telangana,Karimnagar,379349,2021-03-08,3-6L,Regular,0,Home & Kitchen,Email Campaign
CUST00153,Arjun Singh,user153@email.com,55,Male,Telangana,Khammam,811942,2020-12-25,3-6L,Premium,0,Fashion,Paid Ads
CUST00154,Kavya Sharma,user154@email.com,20,Female,Telangana,Hyderabad,309493,2023-09-04,6-10L,Regular,0,Home & Kitchen,Referral
CUST00155,Ishaan Joshi,user155@email.com,35,Female,Telangana,Warangal,148993,2018-03-16,3-6L,New,0,Fashion,Social Media
CUST00156,Aditi Mehta,user156@email.com,29,Male,Haryana,Faridabad,290638,2021-05-22,3-6L,Premium,0,Fashion,Social Media
CUST00157,Meera Patel,user157@email.com,54,Male,Punjab,Patiala,724894,2022-12-17,<3L,New,0,Grocery,Social Media
CUST00158,Yash Nair,user158@email.com,34,Female,Andhra Pradesh,Vijayawada,229999,2022-04-02,3-6L,Premium,0,Toys & Games,Referral
CUST00159,Shreya Banerjee,user159@email.com,35,Male,Haryana,Rohtak,538562,2022-03-25,<3L,Regular,0,Beauty & Health,Email Campaign
CUST00160,Sunita Iyer,user160@email.com,28,Male,Andhra Pradesh,Guntur,867075,2023-09-21,10-20L,VIP,0,Beauty & Health,Paid Ads
CUST00161,Priya Joshi,user161@email.com,54,Male,Rajasthan,Jodhpur,472547,2019-03-28,3-6L,New,0,Electronics,Social Media
CUST00162,Akash Verma,user162@email.com,52,Male,Rajasthan,Udaipur,929993,2020-01-25,<3L,New,0,Fashion,Social Media
CUST00163,Rohit Rao,user163@email.com,55,Male,Punjab,Patiala,720851,2021-09-30,<3L,Premium,0,Home & Kitchen,Organic Search
CUST00164,Kavya Nair,user164@email.com,41,Male,Madhya Pradesh,Gwalior,776259,2021-05-14,<3L,Regular,1,Office Supplies,Social Media
CUST00165,Varun Mishra,user165@email.com,35,Male,Tamil Nadu,Salem,378214,2020-04-05,>20L,VIP,0,Books,Email Campaign
CUST00166,Aditi Reddy,user166@email.com,46,Female,Kerala,Kollam,761222,2022-08-06,<3L,New,0,Home & Kitchen,Referral
CUST00167,Aditi Mishra,user167@email.com,25,Female,Telangana,Khammam,384736,2019-06-07,6-10L,New,0,Beauty & Health,Email Campaign
CUST00168,Sneha Mehta,user168@email.com,60,Female,West Bengal,Durgapur,503603,2021-08-10,<3L,Premium,1,Toys & Games,Email Campaign
CUST00169,Meera Joshi,user169@email.com,52,Male,Madhya Pradesh,Bhopal,404600,2023-11-19,3-6L,Regular,0,Sports & Fitness,Social Media
CUST00170,Sanjay Mehta,user170@email.com,55,Female,Haryana,Gurugram,629131,2020-04-15,6-10L,Premium,0,Books,Paid Ads
CUST00171,Aditya Pillai,user171@email.com,31,Female,Andhra Pradesh,Vijayawada,223073,2018-05-03,3-6L,Regular,1,Automotive,Organic Search
CUST00172,Shreya Joshi,user172@email.com,40,Male,Delhi,New Delhi,939449,2018-08-23,6-10L,New,1,Toys & Games,Organic Search
CUST00173,Arjun Nair,user173@email.com,57,Female,Madhya Pradesh,Jabalpur,385543,2019-02-27,10-20L,Regular,1,Electronics,Organic Search
CUST00174,Aarav Iyer,user174@email.com,52,Male,Tamil Nadu,Salem,709551,2022-05-20,6-10L,Regular,1,Automotive,Social Media
CUST00175,Ishaan Trivedi,user175@email.com,40,Female,Tamil Nadu,Madurai,965437,2022-10-23,3-6L,VIP,1,Home & Kitchen,Referral
CUST00176,Aarav Agarwal,user176@email.com,38,Female,Kerala,Kozhikode,247431,2020-04-22,3-6L,Regular,0,Books,Organic Search
CUST00177,Aditya Sharma,user177@email.com,38,Female,Telangana,Nizamabad,111612,2020-11-10,<3L,Premium,0,Electronics,Referral
CUST00178,Anjali Rao,user178@email.com,23,Male,West Bengal,Kolkata,707398,2018-01-03,3-6L,Regular,0,Grocery,Referral
CUST00179,Shreya Nair,user179@email.com,53,Male,Madhya Pradesh,Gwalior,960002,2021-11-19,6-10L,Regular,0,Electronics,Referral
CUST00180,Amit Singh,user180@email.com,21,Female,Punjab,Amritsar,768958,2021-03-19,10-20L,Regular,0,Automotive,Email Campaign
CUST00181,Divya Mishra,user181@email.com,33,Female,Telangana,Karimnagar,629858,2023-07-06,3-6L,Regular,1,Beauty & Health,Social Media
CUST00182,Yash Agarwal,user182@email.com,36,Female,West Bengal,Howrah,478515,2019-04-07,3-6L,Regular,0,Home & Kitchen,Referral
CUST00183,Isha Rao,user183@email.com,54,Male,Uttar Pradesh,Varanasi,961668,2019-05-16,<3L,VIP,1,Electronics,Social Media
CUST00184,Sunita Agarwal,user184@email.com,47,Male,Maharashtra,Pune,502880,2023-04-16,3-6L,Regular,1,Books,Social Media
CUST00185,Tanvi Singh,user185@email.com,18,Male,Madhya Pradesh,Ujjain,839627,2023-01-20,3-6L,Premium,0,Fashion,Paid Ads
CUST00186,Priya Trivedi,user186@email.com,47,Female,Gujarat,Rajkot,633477,2021-08-09,3-6L,Regular,0,Beauty & Health,Organic Search
CUST00187,Meera Mehta,user187@email.com,24,Female,Rajasthan,Udaipur,592654,2022-08-17,<3L,VIP,0,Toys & Games,Email Campaign
CUST00188,Aditi Joshi,user188@email.com,52,Other,Telangana,Warangal,875628,2018-04-22,<3L,New,0,Electronics,Referral
CUST00189,Deepika Verma,user189@email.com,52,Female,West Bengal,Kolkata,726649,2023-08-05,<3L,Regular,1,Automotive,Referral
CUST00190,Aditya Trivedi,user190@email.com,60,Female,Uttar Pradesh,Agra,639725,2019-01-11,<3L,Premium,1,Office Supplies,Email Campaign
CUST00191,Mihir Joshi,user191@email.com,39,Female,Telangana,Warangal,349783,2021-01-20,10-20L,New,0,Beauty & Health,Organic Search
CUST00192,Tanvi Malhotra,user192@email.com,59,Male,Bihar,Gaya,580240,2023-01-16,3-6L,New,0,Beauty & Health,Paid Ads
CUST00193,Ishaan Mishra,user193@email.com,20,Female,Maharashtra,Thane,455264,2020-07-13,<3L,Premium,0,Electronics,Referral
